,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX,TSK,QVAPOR,net_lw,r_net
2016-06-13 08:00:00,14.1877075195,387.007385254,67.276802063,291.296203613,392.400360107,80.8871383667,100.418128967,-25.4268798828,289.130310059,0.00616621179506,-101.104156494,218.626426697
2016-06-13 09:00:00,15.6274963379,583.771118164,101.481925964,294.567230225,406.403533936,118.887313843,170.450439453,-61.6520729065,291.856018066,0.00644729612395,-111.836303711,370.452888489
2016-06-13 10:00:00,17.2255187988,758.905883789,131.927001953,299.711547852,422.243865967,157.686462402,231.448547363,-88.9372711182,294.593963623,0.00674581900239,-122.532318115,504.446563721
2016-06-13 11:00:00,18.6277404785,898.266845703,156.153396606,304.193023682,436.032531738,190.702911377,280.42401123,-105.636108398,296.946716309,0.00706869596615,-131.839508057,610.27394104
2016-06-13 12:00:00,19.8875671387,990.092895508,172.116195679,308.811889648,447.655792236,216.990768433,309.536529541,-112.980682373,298.855163574,0.00727830827236,-138.843902588,679.132797241
2016-06-13 13:00:00,21.1370788574,1026.89587402,178.514022827,314.480163574,457.582855225,233.053146362,316.27230835,-112.025543213,300.422027588,0.00759456586093,-143.10269165,705.279159546
2016-06-13 14:00:00,22.2457824707,1006.26159668,174.927017212,320.346557617,464.695892334,237.770874023,299.623687744,-103.452667236,301.497680664,0.00781292282045,-144.349334717,686.985244751
2016-06-13 15:00:00,23.0961242676,928.747924805,161.452194214,326.269378662,467.79006958,229.622528076,268.646972656,-82.9167785645,301.858032227,0.00799461640418,-141.520690918,625.775039673
2016-06-13 16:00:00,23.7425170898,801.774780273,139.379333496,331.858520508,467.61605835,208.034606934,217.9402771,-59.6700172424,301.751556396,0.00813699606806,-135.757537842,526.637908936
2016-06-13 17:00:00,24.2581726074,635.593383789,110.490608215,337.958099365,464.825500488,175.496383667,155.129104614,-32.713684082,301.18838501,0.00825055409223,-126.867401123,398.235374451
2016-06-13 18:00:00,24.375177002,444.24710083,77.2272567749,342.799743652,457.674346924,136.538742065,94.7078552246,4.45942640305,299.856811523,0.00832509249449,-114.874603271,252.145240784
2016-06-13 19:00:00,23.9397216797,246.203536987,42.7996444702,343.8409729,447.302764893,86.6045074463,35.9816970825,38.0215415955,298.059814453,0.00850461516529,-103.461791992,99.9421005249
2016-06-13 20:00:00,22.7629638672,64.8532714844,11.2739915848,343.27923584,435.041168213,23.8493213654,-0.161127090454,67.098777771,295.906494141,0.00937471631914,-91.761932373,-38.1826524734
2016-06-13 21:00:00,20.5212341309,0.0,0.0,341.208435059,418.047668457,0.909359872341,-5.15911483765,75.4334182739,293.321350098,0.00944682303816,-76.8392333984,-76.8392333984
